ADNI Brain PET: Raw,375
ADNI Brain PET: Raw AV45,368
ADNI Brain PET: Raw FDG,360
ADNI Static Brain (6x5),180
30 min 3D FDG  4i/16s,105
30 min 3D FDG 4i/16s,96
30 MIN 3D FDG 4i/16s,68
"Dyn_ADNI-GO(128x,4i20s,256mmFOV,NoFilter)  AV45",59
PET WB,59
ADNI STATIC BRAIN (6X5),57
"Dyn_ADNI-GO(128x,4i20s,256mmFOV,NoFilter)  FDG",56
ADNI STATIC BRAIN,55
ADNI Brain PET: Raw PIB,53
30 min 3D FDG - Iter(Brain Mode,51
ADNI AV45 Brain_20min dyn,47
ADNI FDG Brain_30min dyn,44
ADNI (AC)  FDG,42
ADNI GO PRIMARY  AV45,42
AV-45 (AC) AV45,41
TRANSAXIAL:BRAIN 3D:FDG:ADNI CTAC,41
ADNIstaticBrain(6x5),40
PET Brain FDG,39
30MIN 3D FDG 4i/16s,38
ADNI GO PRIMARY  FDG,37
50-70 min dynamic-3D 4i/16s AV45,34
ADNI BRAIN,34
ADNI2 AV45 (AC),34
30-60 min dynamic-3D 4i/16s  FDG,33
ADNI_3D_Brain_ITERATIVE  AV45,33
AV45_Dyn_4x5min_2Di_336_2z_AllPass (AC),33
fdg 4i/16s  FDG,33
90 min 3D PIB  4i/16s,32
PET Brain AV_45  AV45,32
3D Neuro Dyna 4i/16s,31
ADNIGO - AV45 BRAIN STUDY,31
ADNI_3D_Brain_ITERATIVE  FDG,31
EMISSION 4i/16s  AV45,31
4x5minute frames - Iter(Bra AV45,30
ADNI PET Brain,30
ADNI-AV45 (AC),30
FDG_Dyn_6x5min_2Di_336_2z_AllPass (AC),30
ADNI BRAIN AV45 1st 10min,29
ADNI ITERATIVE AV45,29
ADNI-2-AV-45 AV45,29
ADNIGO - FDG BRAIN STUDY,29
6x5minute frames - Iter(Brai FDG,28
ADNI-2-FDG,28
ADNI2 FDG (AC),28
30MIN 3D FDG 4i/16s ,27
3D BRAIN AV-45 FORE  AV45,27
50-70 min dynamic-3D - Iter AV45,27
ADNI ITERATIVE FDG,27
ADNI_BRAIN_3D  AV45,27
PET AC 3D Brain ADNI-GO FDG,27
60min Dyn FDG 4i/16s,26
Adni AV45 4 X 300 4i/16s ,26
PET AC 3D Brain ADNI-GO AV-45  AV45,26
PET BRAIN,26
TRANSAXIAL:BRAIN 3D:FDG:IR CTAC NF,26
ADNI BRAIN FDG 1st 15min,25
ADNI_BRAIN_3D  FDG,25
AV45 4i/16s ,25
PET WB FDG,24
20 MIN 3D AV45 4i/16s ,23
30 MIN 3D FDG 4i/16s ,23
33f  ADNI 4i/16s,23
3D ADNI2 AV45 F18 ACQUI. 4i/16s ,23
3D BRAIN FDG FORE,23
3D_Brain,23
ADNI_FDG 6F 4i/16s ,23
6x5minute frames 4i/16s  FDG,22
PET WB AV45,22
30-60 min dynamic-3D - Iter( FDG,21
3D Emission 6i/16s,21
3D PET Brain,21
ADNI-2 F18 AC  AV45,21
ADNI-FDG BRAIN (AC),20
20 min 3D AV45 - Iter(Brain Mod,19
BRAIN EMISSION 4i/16s  AV45,19
PET ADNI  Brain,19
ADNISTATIC6X5,18
PET Brain,18
 3D 4x300s 4i/16s  AV45,17
 3D 6x300s 4i/16s  FDG,17
4x5minute frames 4i/16s  AV45,17
BRAIN EMISSION 4i/16s  FDG,17
ADNI Brain PET: Raw Early AV45,16
EMISSION-ADNI 4i/16s  FDG,16
TRANSAXIAL:BRAIN 3D:AV45:IR CTAC NF,16
30 MIN 3D FDG 6i/16s,15
ADNI2AV-45Brain(4x5) AV45,15
EMISSION 4i/16s  FDG,15
ADNI BRAIN AV45 2nd 10min,14
ADNI BRAIN FDG 2nd 15min,14
BRAIN EMISSION - Iter(Brain AV45,14
ADNI-2 FDG AC,13
Dynamic 2 FDG 4i/16s,13
PET1 AV45,13
20min_16frames 4i/16s Early AV45,12
