,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP:,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP:,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize,PictureTarget.RESP:
0,4031,5,3989,30,1,,0,47,100808,,0,0,1,5,-999999,44,105134,5,245,105379,bigwinleft.bmp,left,TrialProc,TrialList,10,targetleft.bmp,left,280,1,1,1,10,
1,4396,5,3634,22,1,,0,54,110930,,0,0,1,5,-999999,13,115590,5,265,115855,smallwinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,270,2,1,2,2,
2,4407,5,3633,29,1,,0,11,120985,,0,0,0,5,0,2,125645,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,260,3,1,3,10,
3,4112,4,3938,18,1,,0,56,131092,,0,0,1,4,-999999,47,135517,4,232,135749,nowinright.bmp,right,TrialProc,TrialList,12,targetright.bmp,right,250,4,1,4,0,
4,4224,4,3826,29,1,,0,32,141196,,0,0,1,4,-999999,2,145673,4,197,145870,bigwinright.bmp,right,TrialProc,TrialList,22,targetright.bmp,right,250,5,1,5,10,
5,4048,5,4002,25,1,,0,71,151268,,0,0,1,5,-999999,11,155578,5,233,155811,nowinleft.bmp,left,TrialProc,TrialList,22,targetleft.bmp,left,250,6,1,6,0,
6,4334,4,3716,34,1,,0,42,161340,,0,0,1,4,-999999,9,165934,4,186,166120,smallwinright.bmp,right,TrialProc,TrialList,24,targetright.bmp,right,250,7,1,7,2,
7,4368,4,3682,35,1,,0,16,171362,,0,0,1,4,-999999,8,175989,4,180,176169,nowinright.bmp,right,TrialProc,TrialList,24,targetright.bmp,right,250,8,1,8,0,
8,4491,5,3559,34,1,,0,15,181367,,0,0,1,5,-999999,2,186111,5,187,186298,bigwinleft.bmp,left,TrialProc,TrialList,34,targetleft.bmp,left,250,9,1,9,10,
9,4469,5,3581,32,1,,0,16,191389,,0,0,0,5,0,7,196116,,0,0,nowinleft.bmp,left,TrialProc,TrialList,34,targetleft.bmp,left,250,10,1,10,0,
10,4302,4,3748,17,1,,0,18,201461,,0,0,1,4,-999999,7,206021,4,184,206205,smallwinright.bmp,right,TrialProc,TrialList,36,targetright.bmp,right,250,11,1,11,2,
11,4451,4,3599,47,1,,0,17,211450,,0,0,1,4,-999999,8,216160,4,205,216365,nowinright.bmp,right,TrialProc,TrialList,36,targetright.bmp,right,250,12,1,12,0,
12,4263,5,3787,49,1,,0,4,221489,,0,0,1,5,-999999,12,226015,5,175,226190,bigwinleft.bmp,left,TrialProc,TrialList,46,targetleft.bmp,left,250,13,1,13,10,
13,4022,4,4028,22,1,,0,17,231510,,0,0,0,4,0,3,235786,,0,0,smallwinright.bmp,right,TrialProc,TrialList,46,targetright.bmp,right,250,14,1,14,2,
14,4451,5,3599,32,1,,0,12,241566,,0,0,1,5,-999999,8,246276,5,190,246466,nowinleft.bmp,left,TrialProc,TrialList,46,targetleft.bmp,left,250,15,1,15,0,
15,4324,5,3726,27,1,,0,18,251588,,0,0,1,5,-999999,2,256165,5,209,256374,smallwinleft.bmp,left,TrialProc,TrialList,48,targetleft.bmp,left,250,16,1,16,2,
16,4116,4,3934,24,1,,0,7,261610,,0,0,0,4,0,9,265986,,0,0,nowinright.bmp,right,TrialProc,TrialList,48,targetright.bmp,right,250,17,1,17,0,
17,4455,5,3595,31,1,,0,9,271665,,0,0,1,5,-999999,4,276375,5,199,276574,smallwinleft.bmp,left,TrialProc,TrialList,50,targetleft.bmp,left,250,18,1,18,2,
18,4196,4,3854,39,1,,0,19,281687,,0,0,1,4,-999999,13,286147,4,208,286355,bigwinright.bmp,right,TrialProc,TrialList,60,targetright.bmp,right,250,19,1,19,10,
19,4019,5,4031,15,1,,0,12,291726,,0,0,1,5,-999999,6,296002,5,197,296199,smallwinleft.bmp,left,TrialProc,TrialList,62,targetleft.bmp,left,250,20,1,20,2,
20,4032,4,4018,29,1,,0,19,301731,,0,0,1,4,-999999,10,306024,4,228,306252,nowinright.bmp,right,TrialProc,TrialList,62,targetright.bmp,right,250,21,1,21,0,
21,4398,5,3652,33,1,,0,4,311769,,0,0,1,5,-999999,12,316430,5,177,316607,smallwinleft.bmp,left,TrialProc,TrialList,64,targetleft.bmp,left,250,22,1,22,2,
22,4314,4,3736,11,1,,0,17,321775,,0,0,0,4,0,11,326351,,0,0,bigwinright.bmp,right,TrialProc,TrialList,64,targetright.bmp,right,250,23,1,23,10,
23,4123,4,3927,40,1,,0,5,331813,,0,0,1,4,-999999,3,336190,4,189,336379,smallwinright.bmp,right,TrialProc,TrialList,66,targetright.bmp,right,250,24,1,24,2,
24,4471,5,3579,23,1,,0,10,341835,,0,0,0,5,0,5,346562,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,66,targetleft.bmp,left,250,25,1,25,10,
25,4268,4,3782,44,1,,0,11,351891,,0,0,1,4,-999999,7,356417,4,204,356621,nowinright.bmp,right,TrialProc,TrialList,66,targetright.bmp,right,250,26,1,26,0,
26,4216,5,3834,26,1,,0,6,361929,,0,0,1,5,-999999,10,366406,5,189,366595,bigwinleft.bmp,left,TrialProc,TrialList,76,targetleft.bmp,left,250,27,1,27,10,
