,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize
0,4151,5,3869,34,1,,0,30,101154,,0,0,1,5,-999999,25,105581,5,229,105810,bigwinleft.bmp,left,TrialProc,TrialList,10,targetleft.bmp,left,280,1,1,1,10
1,4160,5,3870,41,1,,0,16,111210,,0,0,1,5,-999999,15,115636,5,221,115857,smallwinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,270,2,1,2,2
2,4231,5,3809,46,1,,0,9,121249,,0,0,1,5,-999999,11,125742,5,238,125980,bigwinleft.bmp,left,TrialProc,TrialList,22,targetleft.bmp,left,260,3,1,3,10
3,4356,4,3694,23,1,,0,21,131338,,0,0,0,4,0,20,135965,,0,0,nowinright.bmp,right,TrialProc,TrialList,22,targetright.bmp,right,250,4,1,4,0
4,4345,4,3705,42,1,,0,27,141427,,0,0,1,4,-999999,14,146037,4,210,146247,bigwinright.bmp,right,TrialProc,TrialList,32,targetright.bmp,right,250,5,1,5,10
5,4266,5,3784,49,1,,0,25,151482,,0,0,0,5,0,10,156009,,0,0,nowinleft.bmp,left,TrialProc,TrialList,32,targetleft.bmp,left,250,6,1,6,0
6,4380,4,3670,26,1,,0,18,161571,,0,0,1,4,-999999,13,166215,4,229,166444,smallwinright.bmp,right,TrialProc,TrialList,34,targetright.bmp,right,250,7,1,7,2
7,4462,4,3588,20,1,,0,7,171610,,0,0,0,4,0,14,176337,,0,0,nowinright.bmp,right,TrialProc,TrialList,34,targetright.bmp,right,250,8,1,8,0
8,4290,5,3750,50,1,,0,14,181666,,0,0,1,5,-999999,2,186209,5,254,186463,bigwinleft.bmp,left,TrialProc,TrialList,44,targetleft.bmp,left,260,9,1,9,10
9,4194,5,3856,43,1,,0,16,191754,,0,0,0,5,0,15,196214,,0,0,nowinleft.bmp,left,TrialProc,TrialList,44,targetleft.bmp,left,250,10,1,10,0
10,4500,4,3540,37,1,,0,7,201827,,0,0,1,4,-999999,9,206587,4,211,206798,smallwinright.bmp,right,TrialProc,TrialList,46,targetright.bmp,right,260,11,1,11,2
11,4332,4,3698,39,1,,0,13,211849,,0,0,0,4,0,10,216442,,0,0,nowinright.bmp,right,TrialProc,TrialList,46,targetright.bmp,right,270,12,1,12,0
