,BlockList,BlockList.Cycle,BlockList.Sample,Display.RefreshRate,Experiment,Group,LevelName,PracticeMode,Procedure,RandomSeed,Running,Session,SessionDate,SessionTime,Subject,Target_time,VersionPersist,c_SessionDate,c_Subject,nbTrials
0,1,1,1,59.868,MIDT_forscan,1,LogLevel10,no,BlockProc,-2010375326,BlockList,1,03-09-2011,13:38:16,09031,270,1,03-09-2011,09031,66
1,1,1,1,59.867,MIDT_forscan,1,LogLevel10,no,BlockProc,-1151512393,BlockList,1,11-30-2010,03:14:36,30110,270,1,11-30-2010,30110,66
2,1,1,1,59.869,MIDT_forscan,1,LogLevel10,no,BlockProc,1512003736,BlockList,1,01-01-2002,04:52:25,07120,270,1,12-07-2010,07120,66
3,1,1,1,59.867,MIDT_forscan,1,LogLevel10,no,BlockProc,-357516606,BlockList,1,09-28-2010,13:30:39,28090,270,1,09-28-2010,28090,66
4,1,1,1,59.868,MIDT_forscan,1,LogLevel10,no,BlockProc,1865122625,BlockList,1,01-01-2002,01:18:30,02052,270,1,05-02-2012,02052,66
5,1,1,1,59.868,MIDT_forscan,1,LogLevel10,no,BlockProc,1463022376,BlockList,1,01-05-2002,05:18:32,23020,270,1,02-23-2010,23020,66
6,1,1,1,59.868,MIDT_forscan,1,LogLevel10,no,BlockProc,1616052241,BlockList,1,01-01-2002,01:24:02,17119,270,1,11-17-2009,17119,66
7,1,1,1,59.868,MIDT_forscan,1,LogLevel10,no,BlockProc,307372360,BlockList,1,01-01-2002,01:05:27,30102,270,1,10-30-2012,30102,66
8,1,1,1,59.871,MIDT_forscan,1,LogLevel10,no,BlockProc,-346389439,BlockList,1,01-02-2002,04:06:04,01021,270,1,02-01-2011,01021,66
9,1,1,1,59.868,MIDT_forscan,1,LogLevel10,no,BlockProc,-1043044249,BlockList,1,01-13-2002,15:22:23,22021,270,1,02-22-2011,22021,66
10,1,1,1,59.867,MIDT_forscan,1,LogLevel10,no,BlockProc,-822653401,BlockList,1,01-01-2002,01:16:06,01022,270,1,02-01-2012,01022,66
11,1,1,1,59.910,MIDT_forscan,1,LogLevel10,no,BlockProc,70353417,BlockList,1,03-22-2011,12:22:36,22031,270,1,03-22-2011,22031,66
12,1,1,1,59.868,MIDT_forscan,1,LogLevel10,no,BlockProc,-1336805589,BlockList,1,01-01-2002,03:56:09,20062,270,1,06-20-2012,20062,1
13,1,1,1,59.869,MIDT_forscan,1,LogLevel10,no,BlockProc,645449251,BlockList,1,01-01-2002,04:25:29,02020,270,1,02-02-2010,02020,66
14,1,1,1,59.869,MIDT_forscan,1,LogLevel10,no,BlockProc,-405665963,BlockList,1,01-01-2002,04:41:36,12010,270,1,01-12-2010,12010,66
15,1,1,1,59.868,MIDT_forscan,1,LogLevel10,no,BlockProc,1969944797,BlockList,1,10-19-2010,14:15:11,19100,270,1,10-19-2010,19100,66
16,1,1,1,59.862,MIDT_forscan,1,LogLevel10,no,BlockProc,-74677566,BlockList,1,01-01-2002,04:16:26,14032,270,1,03-14-2012,14032,66
17,1,1,1,59.868,MIDT_forscan,1,LogLevel10,no,BlockProc,1720303583,BlockList,1,01-02-2002,04:43:56,06100,270,1,10-06-2010,06100,66
