,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,133826,1,10,10,5,5,5,33,230,134056,left,280,4226,3794,33,129316,46
1,2,144032,1,12,2,5,5,5,17,214,144246,left,270,4359,3671,49,139405,34
2,3,154204,1,22,10,5,5,5,15,200,154404,left,260,4494,3546,24,149444,18
3,4,163759,1,22,0,4,4,4,19,199,163958,right,250,4006,4044,13,159483,43
4,5,174232,1,32,10,4,4,4,9,244,174476,right,250,4467,3583,28,169505,21
5,6,184187,1,32,0,5,5,5,15,249,184436,left,250,4327,3723,12,179594,39
6,7,193925,1,34,2,4,4,4,5,226,194151,right,250,4003,4047,11,189666,38
7,8,204365,1,34,0,4,4,4,7,214,204579,right,250,4419,3631,42,199688,6
8,9,214220,1,44,10,5,5,5,7,211,214431,left,250,4236,3814,49,209726,8
9,10,224125,0,44,0,5,5,,16,0,0,left,250,4076,3974,12,219782,18
10,11,234097,1,46,2,4,4,4,12,170,234267,right,250,4013,4037,27,229821,5
11,12,244236,1,46,0,4,4,4,8,220,244456,right,250,4168,3882,42,239809,6
12,13,254157,1,56,10,5,5,5,2,170,254327,left,250,4039,4011,12,249865,8
13,14,264397,0,56,2,4,4,,11,0,0,right,250,4298,3752,28,259837,5
14,15,274318,1,56,0,5,5,5,6,164,274482,left,250,4169,3881,18,269892,5
15,16,284324,1,58,2,5,5,5,10,161,284485,left,250,4199,3851,33,279864,16
16,17,294212,1,58,0,4,4,4,7,166,294378,right,250,4102,3948,19,289852,17
17,18,304217,0,58,2,5,5,,10,0,0,left,250,4132,3918,23,299824,14
18,19,314624,1,68,10,4,4,4,4,89,314713,right,250,4489,3561,21,309880,11
19,20,324228,0,68,2,5,5,,17,0,0,left,250,4175,3875,44,319785,13
20,21,334150,1,68,0,4,4,4,17,168,334318,right,250,4025,4025,39,329857,5
21,22,344205,1,70,2,5,5,5,6,168,344373,left,250,4085,3965,38,339862,10
22,23,354144,1,80,10,4,4,4,3,178,354322,right,250,4022,4028,33,349868,12
23,24,364132,1,82,2,4,4,4,3,206,364338,right,250,4005,4045,50,359873,17
24,25,374589,1,92,10,5,5,5,15,170,374759,left,250,4395,3655,27,369928,16
25,26,384661,1,92,0,4,4,4,16,186,384847,right,250,4477,3573,47,379917,6
26,27,394466,1,102,10,5,5,5,6,202,394668,left,250,4270,3780,47,389939,3
27,28,404738,1,104,2,5,5,5,4,246,404984,left,250,4489,3561,39,399994,19
28,29,414794,1,104,0,4,4,4,3,175,414969,right,250,4473,3577,25,410067,12
29,30,424682,1,104,0,5,5,5,14,198,424880,left,250,4362,3688,34,420055,8
30,31,434688,1,114,10,4,4,4,2,188,434876,right,250,4358,3692,41,430077,16
31,32,444492,1,116,2,5,5,5,4,180,444672,left,250,4138,3912,29,440099,9
32,33,454815,1,126,10,4,4,4,9,202,455017,right,250,4467,3583,30,450088,5
33,34,464453,0,126,0,4,4,,15,0,0,right,250,4077,3973,19,460110,4
34,35,474876,1,128,2,4,4,4,5,145,475021,right,250,4455,3595,49,470165,14
35,36,484597,1,138,10,5,5,5,4,161,484758,left,250,4188,3862,21,480154,18
36,37,494803,1,138,0,4,4,4,6,194,494997,right,250,4420,3630,20,490126,13
37,38,504691,0,138,2,4,4,,6,0,0,right,250,4303,3747,23,500131,13
38,39,514580,1,148,10,4,4,4,15,180,514760,right,250,4127,3923,38,510187,11
39,40,524785,0,148,0,5,5,,4,0,0,left,250,4338,3712,45,520192,12
40,41,534573,1,158,10,5,5,5,4,199,534772,left,250,4054,3996,27,530264,5
